% parallel ∥
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
A A
A1 𝔸
AE Æ
AEacute Ǽ
AEmacron Ǣ
AEsmall 
APLup △
Aacute Á
Aacutesmall 
Abbb 𝔸
Abreve Ă
Abreveacute Ắ
Abrevecyrillic Ӑ
Abrevedotbelow Ặ
Abrevegrave Ằ
Abrevehookabove Ẳ
Abrevetilde Ẵ
Acal 𝒜
Acaron Ǎ
Acircle Ⓐ
Acircumflex Â
Acircumflexacute Ấ
Acircumflexdotbelow Ậ
Acircumflexgrave Ầ
Acircumflexhookabove Ẩ
Acircumflexsmall 
Acircumflextilde Ẫ
Acute 
Acutesmall 
Acyrillic А
Adblgrave Ȁ
Adieresis Ä
Adieresiscyrillic Ӓ
Adieresismacron Ǟ
Adieresissmall 
Adotbelow Ạ
Adotmacron Ǡ
Agrave À
Agravesmall 
Ahookabove Ả
Aiecyrillic Ӕ
Ainvertedbreve Ȃ
Alpha Α
Alphatonos Ά
Amacron Ā
Amonospace Ａ
Aogonek Ą
Aring Å
Aringacute Ǻ
Aringbelow Ḁ
Aringsmall 
Armat Ը
Armayb Ա
Armben Բ
Armcha Զ
Armdza Ձ
Arme Է
Armghat Ղ
Armo Օ
Armpyur Փ
Armra Ռ
Armsha Շ
Armtche Ճ
Armto Թ
Armtsa Ծ
Armzhe Ժ
Asmall 
Atilde Ã
Atildesmall 
Aybarmenian Ա
B B
B1 𝔹
Bbbb 𝔹
Bcal ℬ
Bcircle Ⓑ
Bdotaccent Ḃ
Bdotbelow Ḅ
Becyrillic Б
Benarmenian Բ
Beta Β
Bhook Ɓ
Blinebelow Ḇ
Bmonospace Ｂ
Breve ˘
Brevesmall 
Bsmall 
Btopbar Ƃ
C C
C1 ℂ
CL ℄
Caarmenian Ծ
Cacute Ć
Caron 
Caronsmall 
Cbbb ℂ
Ccal 𝒞
Ccaron Č
Ccedilla Ç
Ccedillaacute Ḉ
Ccedillasmall 
Ccircle Ⓒ
Ccircumflex Ĉ
Cdot Ċ
Cdotaccent Ċ
Cedilla ¸
Cedillasmall 
Chaarmenian Չ
Cheabkhasiancyrillic Ҽ
Checyrillic Ч
Chedescenderabkhasiancyrillic Ҿ
Chedescendercyrillic Ҷ
Chedieresiscyrillic Ӵ
Cheharmenian Ճ
Chekhakassiancyrillic Ӌ
Cheverticalstrokecyrillic Ҹ
Chi Χ
Chook Ƈ
Circumflex ˆ
Circumflexsmall 
Cmonospace Ｃ
Coarmenian Ց
Csmall 
D D
D1 𝔻
DZ Ǳ
DZcaron Ǆ
Daarmenian Դ
Dafrican Ɖ
Dbar Đ
Dbbb 𝔻
Dcal 𝒟
Dcaron Ď
Dcedilla Ḑ
Dcircle Ⓓ
Dcircumflexbelow Ḓ
Dcroat Đ
Ddotaccent Ḋ
Ddotbelow Ḍ
Decyrillic Д
Deicoptic Ϯ
Delta ∆
Delta1 Δ
Deltagreek Δ
Dhook Ɗ
Dieresis 
DieresisAcute 
DieresisGrave 
Dieresissmall 
Digamma Ϝ
Digammagreek Ϝ
Djecyrillic Ђ
Dlinebelow Ḏ
Dmonospace Ｄ
Dotaccent ˙
Dotaccentsmall 
Downa ▼
Dslash Đ
Dsmall 
Dtopbar Ƌ
Dz ǲ
Dzcaron ǅ
Dze_abkhasian Ӡ
Dzeabkhasiancyrillic Ӡ
Dzecyrillic Ѕ
Dzh Џ
Dzhecyrillic Џ
E E
E1 𝔼
Eacute É
Eacutesmall 
Ebbb 𝔼
Ebreve Ĕ
Ecal ℰ
Ecaron Ě
Ecedillabreve Ḝ
Echarmenian Ե
Ecircle Ⓔ
Ecircumflex Ê
Ecircumflexacute Ế
Ecircumflexbelow Ḙ
Ecircumflexdotbelow Ệ
Ecircumflexgrave Ề
Ecircumflexhookabove Ể
Ecircumflexsmall 
Ecircumflextilde Ễ
Ecyrillic Є
Edblgrave Ȅ
Edieresis Ë
Edieresissmall 
Edot Ė
Edotaccent Ė
Edotbelow Ẹ
Efcyrillic Ф
Egrave È
Egravesmall 
Eharmenian Է
Ehookabove Ẻ
Eightroman Ⅷ
Einvertedbreve Ȇ
Eiotifiedcyrillic Ѥ
Elcyrillic Л
Elevenroman Ⅺ
Emacron Ē
Emacronacute Ḗ
Emacrongrave Ḕ
Emcyrillic М
Emonospace Ｅ
Encyrillic Н
Endescendercyrillic Ң
Eng Ŋ
Engalt Ŋ
Enghecyrillic Ҥ
Engsmall ŋ
Enhookcyrillic Ӈ
Eogonek Ę
Eopen Ɛ
Epsilon Ε
Epsilonlatin Ɛ
Epsilontonos Έ
Ercyrillic Р
Ereversed Ǝ
Ereversedcyrillic Э
Escyrillic С
Esdescendercyrillic Ҫ
Esh Ʃ
Esmall 
Eta Η
Etarmenian Ը
Etatonos Ή
Eth Ð
Ethsmall 
Etilde Ẽ
Etildebelow Ḛ
Euro €
Ezh Ʒ
Ezhcaron Ǯ
Ezhreversed Ƹ
F F
F1 𝔽
FFIsmall 
FFLsmall 
FFsmall 
FI FI
FIsmall 
FL FL
FLsmall 
Fbbb 𝔽
Fcal ℱ
Fcircle Ⓕ
Fdotaccent Ḟ
Feharmenian Ֆ
Feicoptic Ϥ
Fhook Ƒ
Finv Ⅎ
Fitacyrillic Ѳ
Fiveroman Ⅴ
Fmonospace Ｆ
Fourroman Ⅳ
Fsmall 
Fturn Ⅎ
G G
G1 𝔾
GBsquare ㎇
Gacute Ǵ
Gamma Γ
Gammaafrican Ɣ
Gammalatin Ɣ
Gangiacoptic Ϫ
Gbar Ǥ
Gbbb 𝔾
Gbreve Ğ
Gcal 𝒢
Gcaron Ǧ
Gcedilla Ģ
Gcircle Ⓖ
Gcircumflex Ĝ
Gcommaaccent Ģ
Gdot Ġ
Gdotaccent Ġ
Gecyrillic Г
Germandbls SS
Germandblssmall 
Ghadarmenian Ղ
Ghemiddlehookcyrillic Ҕ
Ghestrokecyrillic Ғ
Gheupturncyrillic Ґ
Ghook Ɠ
Gimarmenian Գ
Gjecyrillic Ѓ
Gmacron Ḡ
Gmir ⅁
Gmonospace Ｇ
Grave 
Gravesmall 
Gsmall 
Gsmallhook ʛ
Gstroke Ǥ
Gtilde G̃
H H
H1 ℍ
H18533 ●
H18543 ▪
H18551 ▫
H22073 □
HPsquare ㏋
Haabkhasiancyrillic Ҩ
Hadescendercyrillic Ҳ
Hardsigncyrillic Ъ
Hbar Ħ
Hbbb ℍ
Hbrevebelow Ḫ
Hcal ℋ
Hcedilla Ḩ
Hcircle Ⓗ
Hcircumflex Ĥ
Hdieresis Ḧ
Hdotaccent Ḣ
Hdotbelow Ḥ
Hmonospace Ｈ
Hoarmenian Հ
Horicoptic Ϩ
Hsmall 
Hungarumlaut 
Hungarumlautsmall 
Hzsquare ㎐
I I
I1 𝕀
IAcyrillic Я
IJ Ĳ
IUcyrillic Ю
Iacute Í
Iacutesmall 
Ibar Ɨ
Ibbb 𝕀
Ibreve Ĭ
Ical ℐ
Icaron Ǐ
Icircle Ⓘ
Icircumflex Î
Icircumflexsmall 
Icyrillic І
Idblgrave Ȉ
Idieresis Ï
Idieresisacute Ḯ
Idieresiscyrillic Ӥ
Idieresissmall 
Idot İ
Idotaccent İ
Idotbelow Ị
Iebrevecyrillic Ӗ
Iecyrillic Е
Ifractur ℑ
Ifraktur ℑ
Igrave Ì
Igravesmall 
Ihookabove Ỉ
Iicyrillic И
Iinvertedbreve Ȋ
Iishortcyrillic Й
Imacron Ī
Imacroncyrillic Ӣ
Imonospace Ｉ
Iniarmenian Ի
Iocyrillic Ё
Iogonek Į
Iota Ι
Iotaafrican Ɩ
Iotadieresis Ϊ
Iotalatin Ɩ
Iotatonos Ί
Ismall 
Istroke Ɨ
Itilde Ĩ
Itildebelow Ḭ
Izhitsacyrillic Ѵ
Izhitsadblgravecyrillic Ѷ
J J
J1 𝕁
Jaarmenian Ձ
Jbbb 𝕁
Jcal 𝒥
Jcircle Ⓙ
Jcircumflex Ĵ
Jecyrillic Ј
Jheharmenian Ջ
Jmonospace Ｊ
Jsmall 
K K
K1 𝕂
KBsquare ㎅
KKsquare ㏍
Kabashkircyrillic Ҡ
Kacute Ḱ
Kacyrillic К
Kadescendercyrillic Қ
Kahookcyrillic Ӄ
Kappa Κ
Kastrokecyrillic Ҟ
Kaverticalstrokecyrillic Ҝ
Kbbb 𝕂
Kbreton Ꝃ
Kcal 𝒦
Kcaron Ǩ
Kcedilla Ķ
Kcircle Ⓚ
Kcommaaccent Ķ
Kdotbelow Ḳ
Keharmenian Ք
Kenarmenian Կ
